repository,mttr_hours,mttr_level
00-Evan/shattered-pixel-dungeon,678.5544444444445,Low
00091701/ADFC-NewsApp-Mono,923.1922222222222,Low
0x1bad1d3a/Kaku,318.6777222222222,Low
1gravity/Android-ContactPicker,136.22666666666666,Medium
24HeuresINSA/24h-android-app,131.89015151515153,Medium
2fast2fourier/something.apk,2707.1519444444443,Low
42SK/TVKILL,24.02111111111111,Medium
42cc/p2psafety,103.15461111111112,Medium
452/USBHIDTerminal,4606.711527777778,Low
75py/Aplin,8277.589747474747,Low
75py/CallConfirm,11727.574583333331,Low
75py/Download-Confirm,0.9466666666666668,Elite
75py/My-pkgs,137.0326388888889,Medium
8enet/AppOpsX,21.752777777777776,High
AIDEA775/UNCmorfi,2679.842777777778,Low
APCVSRepo/hmi_sdk,18.253611111111116,High
AdamMc331/CashCaretaker,48.51277777777778,Medium
AdguardTeam/ContentBlocker,1211.0299377394638,Low
Adventech/sabbath-school-android,1251.1447549019606,Low
AfzalivE/AwakeDebug,97.20111111111112,Medium
Akusari/SD-Booster,1463.1991666666668,Low
Alabaster-Aardvarks/traveller,32.23657407407407,Medium
AlbertoCejas/GermanLearningUCA,132.07537037037036,Medium
AlbrechtL/welle.io,6709.490894886363,Low
AllanWang/Frost-for-Facebook,1557.3800969516594,Low
AlleIT/Alleinfo_Android,1648.350586419753,Low
AlstonLin/TheLearningLock,1201.7899652777778,Low
Amab/SWADroid,290.5071527777778,Low
AnaelMobilia/NextINpact-Unofficial,1385.5973554652212,Low
AndlyticsProject/andlytics,1600.4285251322751,Low
Andrano/Light,66.95805555555556,Medium
AndrewReitz/MagicLifeCounter,8731.160092592592,Low
AndrewReitz/encrypted-camera,3765.197777777778,Low
AnimeNeko/Atarashii,1617.5159455128205,Low
AntennaPod/AntennaPod,3217.630080705706,Low
AntonioRedondo/AnotherMonitor,8040.875555555555,Low
Antox/Antox,2778.937760770975,Low
Any1s/RBTV-Sendeplan,64.94303703703704,Medium
Apptitive/Ramadan,156.59138888888887,Medium
Archheretic/ParkingLotTrackerMobileApp,17.423703703703705,High
AsherGlick/Passcodes,1930.1136111111111,Low
Ashish-Bansal/OneTapVideoDownload,5923.087083333334,Low
Austin-Ray/Hexis,21.054166666666667,High
Azure-Samples/MyDriving,111.60576923076924,Medium
BackyardBrains/Spike-Recorder-Android,604.2803395061728,Low
BandUp/band-up-android,82.74880952380953,Medium
BeamNG/remotecontrol,3396.402986111111,Low
Bearded-Hen/Android-Bootstrap,2685.9688888888886,Low
BenAlderfer/RIT-Dining-Planner-Android,36.153055555555554,Medium
BenoitDuffez/AndroidCupsPrint,5979.702673611111,Low
Berlin-Vegan/berlin-vegan-guide,18989.426349206347,Low
Bernie-2016/bernie-messenger-android,1.9819444444444445,High
BeyondAR/beyondar,1942.671180555556,Low
BijdorpStudio/UrlSetter,3325.19140625,Low
BitPrepared/prbm-mobile,8410.400833333333,Low
BloopApp/Bloop,17.074166666666667,High
BlunchDev/blunch_android,54.34073148148149,Medium
BramBonne/privacypolice,4202.707314814815,Low
BuildmLearn/BuildmLearn-Toolkit-Android,970.155,Low
BullshitPingu/Guide7,104.75060185185184,Medium
CINPLA/neuronify,1817.4807026143792,Low
CODA-Masters/Little-Nibolas,115.87537037037038,Medium
CS-Worcester/TaskButler,42.14787037037037,Medium
CTC-CompTech/delivery,37.10955555555556,Medium
CUNYTech/BudgetApp,204.6505555555556,Low
Calsign/APDE,8815.040694444446,Low
CaptainSpam/geohashdroid,620.4925555555556,Low
Centril/sleepfighter,147.07638888888889,Medium
ChaosLeong/FxcnBeta,72.46194444444444,Medium
ChaseBro/MMDAgent,194.57777777777775,Low
ChristopherGittner/OSMBugs,4454.733888888889,Low
CodeforChemnitz/TheaterWecker,0.0844444444444444,Elite
CoderCoop/nativePlantsChesapeake,113.94361111111112,Medium
Coffeeboys/RenewPass,1821.4958333333327,Low
ColtanLabs/TapNote,1.826111111111111,High
CroceRossaItaliana/gaia-android,273.6630555555556,Low
CytoDev/FrequencyCalculator,32.7437037037037,Medium
DHBWLoerrach/CampusApp,6473.869583333333,Low
DHM47/Native-Clip-Board,2722.6744444444444,Low
DamienOReilly/PrepayCredit,1246.3390277777778,Low
DanielMartinus/Stepper-Touch,5050.772152777778,Low
Daskiworks/ghwatch,365.2527681992337,Low
David-Development/H-BRS-Android-Stundenplan,4.964444444444444,High
DaylightingSociety/WhereAreTheEyes,3073.1900000000005,Low
De7vID/klingon-assistant,6625.266944444445,Low
DecentralizedAmateurPagingNetwork/DAPNETApp,675.3209722222223,Low
DenizUgur/ninegagsaver,2406.525,Low
DerekMarcinyshyn/MMMFlashlight,1.6930555555555555,High
DevelopFreedom/logmein-android,60.67777777777778,Medium
DeveloperPaul123/FilePickerLibrary,2186.593055555556,Low
DevelopersGuild/rebel-invader,176.161875,Low
Devlight/NavigationTabBar,102.33441358024692,Medium
DigitalCampus/oppia-mobile-android,3107.665516739447,Low
Digitopia/Gamult,529.6499074074075,Low
Digitopia/PORTOphone-app,534.2178661616161,Low
Digutsoft/dMetronome,15.005277777777778,High
Dimezis/BlurView,4168.633148148148,Low
Divendo/math-dragon,2333.00745014245,Low
Djiko/trolly,1618.7037037037037,Low
DreierF/MyTargets,1272.9369097222225,Low
DroidKaigi/conference-app-2017,88.13756944444444,Medium
Drutol/MALClient,3394.342361111111,Low
DylanVann/react-native-fast-image,1968.5238523391813,Low
EasyRPG/Player,4000.425277777778,Low
EdwardvanRaak/MaterialBarcodeScanner,7328.269722222222,Low
ElectricDynamite/pasty-app-android,409.9779629629629,Low
EmmanuelMess/Simple-Accounting,469.2188888888889,Low
Esri/maps-app-android,2073.824154040404,Low
EveningMoon/Balance,13.840555555555556,High
EyeSeeTea/uicapp,82.99222222222222,Medium
